entry_id	volume	part	number	page	author	title	oreg	odat	id	rdat	claimants	new_matter	see_also_ren	see_also_reg	notes	full_text
0120ad67-0d39-5a52-939f-6fcd3d2d6f72	14	1	1	772		AMERICAN LAW REPORTS. Vol.83. Editors in chief: George H. Parmele, M. Blair Wailes. Consulting editor: William M. McKinney. Managing editors: Charles Porterfield & Edwin Stacey Oakes. Assisted by publishers editorial staff.	A61349	1933-04-07	R257754	1960-06-03	Lawyers Co-operative Pub. Co. & Bancroft-Whitney Co.|PCW					AMERICAN LAW REPORTS. Vol.83. Editors in chief: George H. Parmele, M. Blair Wailes. Consulting editor: William M. McKinney. Managing editors: Charles Porterfield & Edwin Stacey Oakes. Assisted by publishers editorial staff. © 7Apr33; A61349. Lawyers Co-operative Pub. Co. & Bancroft-Whitney Co. (PCW); 3Jun60; R257754.
32e8ba17-7320-5c72-a8f3-39a38d34107a	14	1	1	772	AMERICAN LAW REPORTS, ANNOTATED.	A.L.R. blue book of supplemental decisions for annotations in the American law reports, for the years 1919-1932. Vol.1-80.	A55574	1932-10-11	R257686	1960-05-23	Lawyers Co-operative Pub. Co. & Bancroft-Whitney Co.|PCW					AMERICAN LAW REPORTS, ANNOTATED. A.L.R. blue book of supplemental decisions for annotations in the American law reports, for the years 1919-1932. Vol.1-80. © 11Oct32; A55574. Lawyers Co-operative Pub. Co. & Bancroft-Whitney Co. (PCW); 23May60; R257686.
f5a5ed7e-ad4a-5283-b254-292d5fc9e3c4	14	1	1	772	AMERICAN LAW REPORTS, ANNOTATED.	Cumulative Index. Vol.58-81. Supplementing A.L.R. digest for v.1-57, years 1929-1932. Combined indexes to cases and annotations.	A60280	1933-02-10	R257695	1960-05-23	Lawyers Co-operative Pub. Co. & Bancroft-Whitney Co.|PCW					AMERICAN LAW REPORTS, ANNOTATED. Cumulative Index. Vol.58-81. Supplementing A.L.R. digest for v.1-57, years 1929-1932. Combined indexes to cases and annotations. © 10Feb33; A60280. Lawyers Co-operative Pub. Co. & Bancroft-Whitney Co. (PCW); 23May60; R257695.
d4eacdbd-0f74-5f88-a7b9-a7bab72a4c49	14	1	1	772	AMERICAN LAW REPORTS, ANNOTATED.	Cumulative index ... Vol.82-83. Combining cases and annotations.	A61347	1933-04-07	R257755	1960-06-03	Lawyers Co-operative Pub. Co. & Bancroft-Whitney Co.|PCW					AMERICAN LAW REPORTS, ANNOTATED. Cumulative index ... Vol.82-83. Combining cases and annotations. © 7Apr33; A61347. Lawyers Co-operative Pub. Co. & Bancroft-Whitney Co. (PCW); 3Jun60; R257755.
4917f1e4-b6bc-5c34-a02f-f02b06657ca2	14	1	1	772		AMERICAN LAW REPORTS, ANNOTATED. Vol.78 Editors in chief: George H. Parmele & M. Blair Wailes. Consulting editor: William M. McKinney. Managing editors: Charles Porterfield & Edwin Stacey Oakes, assisted by the publishers' editorial staff.	A52613	1932-06-07	R256109	1960-04-28	Lawyers Co-operative Pub. Co. & Bancroft-Whitney Co.|PCW					AMERICAN LAW REPORTS, ANNOTATED. Vol.78 Editors in chief: George H. Parmele & M. Blair Wailes. Consulting editor: William M. McKinney. Managing editors: Charles Porterfield & Edwin Stacey Oakes, assisted by the publishers' editorial staff. © 7Jun32; A52613. Lawyers Co-operative Pub. Co. & Bancroft-Whitney Co. (PCW); 28Apr60; R256109.
d2d8a8f8-174f-56bf-89fe-4d2baaee8382	14	1	1	772	AMERICAN NATIONAL RED CROSS.	American Red Cross first aid textbook.	A61149	1933-03-29	R257294	1960-05-20	American National Red Cross|PWH	revisions & new illustrations				AMERICAN NATIONAL RED CROSS. American Red Cross first aid textbook. © on revisions & new illustrations; 29Mar33; A61149. American National Red Cross (PWH); 20May60; R257294.
0cc4fb7b-6992-5e75-a5f8-13b1554716c7	14	1	1	772	AMERICAN STEEL & WIRE CO. OF NEW JERSEY.	Manual of wire for manufacturing purposes and story of making steel & wire.	AA104649	1932-09-06	R258551	1960-06-17	United States Steel Corp.|PWH					AMERICAN STEEL & WIRE CO. OF NEW JERSEY. Manual of wire for manufacturing purposes and story of making steel & wire. © 6Sep32; AA104649. United States Steel Corp. (PWH); 17Jun60; R258551.
d9d91ce7-8238-5d07-8d9b-1a34244d6cd6	14	1	1	772	AMIEL, DENYS.	Theatre. T.4: L'age du fer. Decalage.	AF21363	1933-05-17	R259714	1960-07-07	Denys Amiel|A					AMIEL, DENYS. Theatre. T.4: L'age du fer. Decalage. © 17May33; AF21363. Denys Amiel (A); 7Jul60; R259714.
861acf98-f34f-52d3-bd04-1adf8e903f38	14	1	1	772	AMMERS-KULLER, JO VAN.	Masquerade. Translated by Charlotte Bodde.	A51957	1932-06-24	R250540	1960-01-18	E. P. Dutton & Co., Inc.|PWH					AMMERS-KULLER, JO VAN. Masquerade. Translated by Charlotte Bodde. © 24Jun32; A51957. E. P. Dutton & Co., Inc. (PWH); 18Jan60; R250540.
469af933-e44d-5dbc-a268-3aa5744597cb	14	1	1	772	ANDERSON, FLORENCE BENNETT.	Through the hawse-hole.	A53314	1932-07-26	R252263	1960-02-15	Florence Bennett Anderson|A					ANDERSON, FLORENCE BENNETT. Through the hawse-hole. © 26Jul32; A53314. Florence Bennett Anderson (A); 15Feb60; R252263.
