entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
69afca54-5d43-ffbe-89f6-3d9fee5b681a						Chicago daily tribune.  Vol. 117, no. 1, Jan. 1, 1958.	B687566	1958-01-01	RE283393	1986-01-10	Chicago Tribune Company|PCW						
3692b65a-8eca-ad8a-8510-e706adfd1544						The Washington post and times herald.	B687687	1958-01-01	RE317649	1986-12-30	Washington Post Company|PCW						
a4497576-0081-07fe-854c-2b484ff377cd						Moody's bond survey.  Vol. 50, no. 1.	B688078	1958-01-01	RE307060	1986-10-16	Moody's Investors Service, Inc.|PWH						
4b24f896-50b8-7078-2e35-e51476a265bd						The Nation.  Vol. 186, no. 1, Jan. 4, 1958.	B688786	1958-01-01	RE310991	1986-11-07	Nation Associates, Inc.|PCW						
c182d134-23d2-0357-ba21-5a10fcc6c7b0					Kay Boyle.	Imposed revolutions.	B688786	1958-01-01	RE317458	1986-12-23	Kay Boyle|A						
f39362c2-7270-e745-77ff-6a5ea41d0fc8						Life magazine.  Vol. 44, no. 1, Jan. 6, 1958.	B689171	1958-01-01	RE312036	1986-12-10	Time, Inc.|PCW						
e7f95e87-7c53-d529-b5ad-e1d0c6aecafb						Dissent.  Vol. 5, no. 1, winter 1958.	B690334	1958-01-01	RE277781	1986-02-18	Dissent|PWH						
a138e198-bcd9-84c5-0383-6032ed57ea2e					Norman Mailer.	Reflections on hipsterism.	B690334	1958-01-01	RE311465	1986-12-03	Norman Mailer|A						
42e0d9b8-079d-2ca1-90c6-31ea294318f8						The William and Mary quarterly; a magazine of early American history.  Vol. XV, no. 1, Jan. 1958.	B690426	1958-01-01	RE275579	1986-01-17	Institute of Early American History and Culture|PCW						
a8419f8c-dc89-cc42-6c31-2bbe7e81f66e						Daily news.  Vol. 39, no. 163, Jan. 1, 1958.	B691793	1958-01-01	RE279981	1986-01-16	New York News, Inc.|PWH						
21d202b9-ff1b-6577-5604-e0ea18df907c						Little Orphan Annie.	B691793	1958-01-01	RE316379	1986-12-29	Tribune Media Services, Inc.|PWH						
