entry_id	volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
752f7afa-e329-55b8-a206-789f7f80870b	27	1A	1	161	NEW YORK (STATE) LAWS, STATUTES, ETC.	McKinney's Consolidated laws of New York annotated. Appl. author: Edward Thompson Co. Book 52-B.		AA489505	1945-07-17	R544246	1973-01-15	West Pub. Co.|PWH						NEW YORK (STATE) LAWS, STATUTES, ETC. McKinney's Consolidated laws of New York annotated. Appl. author: Edward Thompson Co. © West Pub. Co. (PWH) Book 52-B. © 17Jul45; AA489505. 15Jan73; R544246.
c8bd8b93-a298-55cb-9350-2018a07164c5	27	1A	1	161	NEW YORK (STATE) LAWS, STATUTES, ETC.	McKinney's consolidated laws of New York annotated. Book 9-1/2 Commerce law. Appl. author: Edward Thompson Co.		AA489499	1945-07-17	R544240	1973-01-15	West Pub. Co.|PWH						NEW YORK (STATE) LAWS, STATUTES, ETC. McKinney's consolidated laws of New York annotated. Book 9-1/2 Commerce law. Appl. author: Edward Thompson Co. © 17Jul45; AA489499. West Pub. Co. (PWH); 15Jan73; R544240.
077d07d3-4152-59f2-9698-071537ee6f27	27	1A	1	161	NEW YORK (STATE) LAWS, STATUTES, ETC.	McKinney's Consolidated laws of New York annotated. Cumulative pamphlet. Appl. author: Edward Thompson Co. Oct45.		AA498431	1945-10-30	R546008	1973-02-26	West Pub. Co.|PWH						NEW YORK (STATE) LAWS, STATUTES, ETC. McKinney's Consolidated laws of New York annotated. Cumulative pamphlet. Appl. author: Edward Thompson Co. © West Pub. Co. (PWH) Oct45. © 30Oct45; AA498431. 26Feb73; R546008.
eb6d00f4-5851-52ec-b2e2-736b472e0d7d	27	1A	1	161	NEW YORK (STATE) LAWS, STATUTES, ETC.	McKinney's Consolidated laws of New York annotated. New York State war emergency act. Appl. author: Edward Thompson Co.		AA489504	1945-07-17	R544245	1973-01-15	West Pub. Co.|PWH						NEW YORK (STATE) LAWS, STATUTES, ETC. McKinney's Consolidated laws of New York annotated. New York State war emergency act. Appl. author: Edward Thompson Co. © 17Jul45; AA489504. West Pub. Co. (PWH); 15Jan73; R544245.
f50604bb-6f65-5a9f-ad29-395540955d1a	27	1A	1	161	NEW YORK (STATE) LAWS, STATUTES, ETC.	McKinney's Consolidated laws of New York annotated. 1945 cumulative annual pocket part. Appl. author: Edward Thompson Co.		AA489498	1945-07-17	R544239	1973-01-15	West Pub. Co.|PWH						NEW YORK (STATE) LAWS, STATUTES, ETC. McKinney's Consolidated laws of New York annotated. 1945 cumulative annual pocket part. Appl. author: Edward Thompson Co. © 17Jul45; AA489498. West Pub. Co. (PWH); 15Jan73; R544239.
fb41b1da-b791-596d-b435-911c325525e8	27	1A	1	161		NEW YORK SUPPLEMENT, SECOND SERIES. Vol. 53.		A189196	1945-07-23	R544214	1973-01-15	West Pub. Co.|PWH						NEW YORK SUPPLEMENT, SECOND SERIES. © West Pub. Co. (PWH) Vol. 53. © 23Jul45; A189196. 15Jan73; R544214.
05d53671-b599-5814-9e83-da11fcdba65b	27	1A	1	162		NEW YORK SUPPLEMENT, SECOND SERIES. Vol. 54.		A189673	1945-08-31	R544225	1973-01-15	West Pub. Co.|PWH						NEW YORK SUPPLEMENT, SECOND SERIES. © West Pub. Co. (PWH) Vol. 54. © 31Aug45; A189673. 15Jan73; R544225.
08d1d69d-a112-5107-84a6-7027c7d3d664	27	1A	1	162		NEW YORK SUPPLEMENT, SECOND SERIES. Vol. 55.		A191309	1945-10-29	R545987	1973-02-26	West Pub. Co.|PWH						NEW YORK SUPPLEMENT, SECOND SERIES. © West Pub. Co. (PWH) Vol. 55. © 29Oct45; A191309. 26Feb73; R545987.
c94a7a04-826c-5a68-bd3a-a997f4061451	27	1A	1	162		NEW YORK SUPPLEMENT, SECOND SERIES. Vol. 56.		A545	1945-12-29	R545999	1973-02-26	West Pub. Co.|PWH						NEW YORK SUPPLEMENT, SECOND SERIES. © West Pub. Co. (PWH) Vol. 56. © 29Dec45; A545. 26Feb73; R545999.
397a6a3c-10ed-54cc-be86-a1fd665a20c7	27	1A	1	162		NEW YORK SUPPLEMENT, SECOND SERIES. Vol. 57.		A1823	1946-02-28	R549369	1973-04-05	West Pub. Co.|PWH						NEW YORK SUPPLEMENT, SECOND SERIES. © West Pub. Co. (PWH) Vol. 57. © 28Feb46; A1823. 5Apr73; R549369.
ca53b579-a9e5-570e-8c00-0ab52155616d	27	1A	1	162														THE NEW YORK TIMES INDEX.  Joseph C. Gephart, editor. © New York Times Co. (PWH) v.33, no. 8. © 14Nov45; AA498678. 16Jan73; R545132.
101e170d-8331-5a93-a1b9-cd6754b8a153	27	1A	1	162														THE NEW YORK TIMES INDEX.  Joseph C. Gephart, editor. © New York Times Co. (PWH) v.33, no. 9. © 7Dec45; AA500291. 16Jan73; R545133.
54547e07-7155-59b6-943d-f9147f6b5450	27	1A	1	162														THE NEW YORK TIMES INDEX.  Joseph C. Gephart, editor. © New York Times Co. (PWH) v.33, no. 10. © 29Jan46; AA4570. 16Mar73; R547851.
c0f8dacf-33c3-51bf-9657-ecf64d60eec3	27	1A	1	162														THE NEW YORK TIMES INDEX.  Joseph C. Gephart, editor. © New York Times Co. (PWH) v.33, no. 11. © 6Mar46; AA6860. 16Mar73; R547852.
f1920f90-add8-5e04-a4d8-b760cc8429c3	27	1A	1	162														THE NEW YORK TIMES INDEX.  Joseph C. Gephart, editor. © New York Times Co. (PWH) v.33, no. 12. © 22Mar46; AA8649. 21May73; R552872.
